,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POS,VARIACION,,JUGADOR,PUNTOS,HCP,TORNEOS,PROCEDENCIA,TARJETA 15,PUNTOS QUE PIERDE,TARJETA 16,,,,,,,,,,,,,,,,,,,,,CAMBIOS
ALMADA CLAUDIO,92,?,0,CONQUEIRO FELIX (46),629.86,5,13,TANDIL (BA),0.00,0.00,0.00,53,,,,,,,,,,,,,,,,,,,,0
MUSSARI ANDRES,93,?,0,RUIZ CRISTIAN (42),626.09,11,13,BAHIA BLANCA (BA),0.00,0.00,0.00,53,,,,,,,,,,,,,,,,,,,,0
PALACIOS RAMIRO,94,?,0,MORALES GASTON (45),614.67,4,7,MORENO (BA),0.00,0.00,0.00,43,,,,,,,,,,,,,,,,,,,,0
MARCHESE RODRIGO,95,?,0,JORGE MAURO (61),614.32,11,15,PERGAMINO (BA),24.23,0.00,23.34,43,,,,,,,,,,,,,,,,,,,,0
FRANZINO CARLOS,96,?,0,REÑONES MARIO (46),608.92,6,15,BAHIA BLANCA (BA),25.37,0.00,25.37,32,,,,,,,,,,,,,,,,,,,,0
OLIVERA JORGE,97,?,0,GARCILAZO GUSTAVO (55),594.85,3,11,PARANA (ER),0.00,0.00,0.00,41,,,,,,,,,,,,,,,,,,,,0
LOBOS CRISTIAN,98,?,0,CABEZAS MARCELO (54),582.15,9,7,BARILOCHE (RN),0.00,12.04,0.00,36,,,,,,,,,,,,,,,,,,,,0
GHEZZI ROBERTO,99,?,0,TROANE FERNANDO (48),569.78,7,7,CASILDA (SF),0.00,0.00,0.00,38,,,,,,,,,,,,,,,,,,,,0
SZISTER GERMAN,100,?,0,MAGNOLI DIEGO (50),556.60,10,7,BARILOCHE (RN),0.00,0.00,0.00,41,,,,,,,,,,,,,,,,,,,,0
BRUNI CARLOS,101,?,0,VEIGA RUBEN (43),552.48,9,11,SUNCHALES (SF),0.00,0.00,0.00,35,,,,,,,,,,,,,,,,,,,,0
DIAZ CRISTIAN,102,?,0,CORRADI FEDERICO (41),549.29,3,10,TANDIL (BA),0.00,0.00,0.00,24,,,,,,,,,,,,,,,,,,,,0
CAMILLO MARCELO,103,?,0,SEERY WALTER GUSTAVO (56),528.88,13,15,SAN PEDRO (BA),17.34,0.00,15.38,41,,,,,,,,,,,,,,,,,,,,0
GOROSITO ALBERTO,104,?,0,SOTELO ARIEL (39),515.26,6,6,STA ROSA (LP),0.00,0.00,0.00,32,,,,,,,,,,,,,,,,,,,,0
JARA PINTO ANGELO,105,?,0,PASCHETTA MARIANO (43),512.99,6,11,ANGELICA (SF),0.00,0.00,0.00,29,,,,,,,,,,,,,,,,,,,,0
GHEZZI MARCOS,106,?,0,FUNARI HECTOR (50),506.82,4,10,BAHIA BLANCA (BA),0.00,18.17,0.00,41,,,,,,,,,,,,,,,,,,,,0
HEILAND JUAN IGNACIO,107,?,0,LAZZARINI JAVIER OSCAR (50),482.72,10,14,TANDIL (BA),0.00,0.00,0.00,32,,,,,,,,,,,,,,,,,,,,0
BIGLIERI AGUSTIN JESUS,108,?,0,BUCHIARELLI DAVID (34),480.33,10,7,CORONEL SUAREZ (BA),0.00,0.00,0.00,55,,,,,,,,,,,,,,,,,,,,0
MURUA DIEGO,109,?,0,DIAZ CRISTIAN (42),464.16,8,14,OLAVARRIA (BA),0.00,0.00,0.00,48,,,,,,,,,,,,,,,,,,,,0
SEERY WALTER GUSTAVO,110,?,0,LEONCINI DAVID (41),462.47,1,7,LAS ROSAS (SF),0.00,0.00,0.00,31,,,,,,,,,,,,,,,,,,,,0
ALES MATIAS,111,?,0,SKOCAJ DAMIAN (56),446.32,7,11,CAMPANA (BA),0.00,0.00,0.00,42,,,,,,,,,,,,,,,,,,,,0
MARTIN ALDO,112,?,0,SARE NEGRI EZEQUIEL (34),435.39,6,5,ARRECIFES (BA),0.00,0.00,0.00,40,,,,,,,,,,,,,,,,,,,,0
PEREYRA CARLOS,113,?,0,CORRADO JORGE (37),433.00,2,6,TANDIL (BA),0.00,0.00,0.00,26,,,,,,,,,,,,,,,,,,,,0
CAMINOS PEDRO,114,?,0,CACERES BENITEZ HENRY (50),429.68,13,8,VILLA GESELL (BA),0.00,0.00,0.00,45,,,,,,,,,,,,,,,,,,,,0
